   1.0000000000000117E-015   5.2812707470190928E-016   3.0467152664694287E-019   5.2843174622855568E-016  -2.7141791241904834E-016   2.6406353735095466E-019   3.0467152664694285E-022   2914.0000000000000     
   1.9999999999999840E-015   5.9101744765286088E-016   7.3301295115801340E-019   5.9175046060401878E-016  -4.5163447880020812E-016   2.9550872382643044E-019   7.3301295115801343E-022   2806.0000000000000     
   2.9999999999998030E-015   5.9693262365220742E-016   1.3247029514955106E-018   5.9825732660370213E-016  -4.6671760025736543E-016   2.9846631182610370E-019   1.3247029514955107E-021   2734.0000000000000     
   3.9999999999996224E-015   6.3358507769319303E-016   2.0470339620844093E-018   6.3563211165527655E-016  -5.1861515435375915E-016   3.1679253884659653E-019   2.0470339620844094E-021   2675.0000000000000     
   4.9999999999994415E-015   6.3635418865643460E-016   2.8874194282124911E-018   6.3924160808464544E-016  -5.3792507906111850E-016   3.1817709432821731E-019   2.8874194282124912E-021   2621.0000000000000     
   5.9999999999992605E-015   6.6367930339189669E-016   3.8070520820568405E-018   6.6748635547395157E-016  -5.8766308029431740E-016   3.3183965169594835E-019   3.8070520820568404E-021   2550.0000000000000     
   6.9999999999990795E-015   6.7087349452775528E-016   4.6509994145903206E-018   6.7552449394234555E-016  -6.2202250406957795E-016   3.3543674726387763E-019   4.6509994145903207E-021   2505.0000000000000     
   7.9999999999988994E-015   6.8700633459181868E-016   5.4271944345732889E-018   6.9243352902639117E-016  -6.3218472653984296E-016   3.4350316729590936E-019   5.4271944345732892E-021   2443.0000000000000     
   8.9999999999987184E-015   6.7688766922421088E-016   6.2270882871601116E-018   6.8311475751137123E-016  -6.2751855174667299E-016   3.3844383461210542E-019   6.2270882871601117E-021   2400.0000000000000     
   9.9999999999985374E-015   6.9581627935781902E-016   6.8369183533808234E-018   7.0265319771119799E-016  -6.5918350206778957E-016   3.4790813967890949E-019   6.8369183533808241E-021   2337.0000000000000     
   1.0999999999998356E-014   6.9630117923974672E-016   7.4600022016286452E-018   7.0376118144137539E-016  -6.7057470692259238E-016   3.4815058961987338E-019   7.4600022016286452E-021   2300.0000000000000     
   1.1999999999998176E-014   6.9275427457390535E-016   8.0418768007754302E-018   7.0079615137468052E-016  -6.6682211514718544E-016   3.4637713728695266E-019   8.0418768007754300E-021   2249.0000000000000     
   1.2999999999997995E-014   7.0005813729150201E-016   8.5919647090543997E-018   7.0865010200055754E-016  -6.8591595707532546E-016   3.5002906864575101E-019   8.5919647090544000E-021   2215.0000000000000     
   1.3999999999997814E-014   7.0414045304862797E-016   8.9566698062258623E-018   7.1309712285485361E-016  -6.8632375670069654E-016   3.5207022652431400E-019   8.9566698062258625E-021   2166.0000000000000     
   1.4999999999997633E-014   7.0132297968454870E-016   9.4531387520648759E-018   7.1077611843661366E-016  -6.8398979367588172E-016   3.5066148984227435E-019   9.4531387520648761E-021   2129.0000000000000     
   1.5999999999997452E-014   7.0520661090761947E-016   9.8005414964027050E-018   7.1500715240402154E-016  -6.8549520109506680E-016   3.5260330545380973E-019   9.8005414964027051E-021   2102.0000000000000     
   1.6999999999997271E-014   7.1276966237192834E-016   1.0129465403712951E-017   7.2289912777564243E-016  -7.0363925629170409E-016   3.5638483118596415E-019   1.0129465403712951E-020   2052.0000000000000     
   1.7999999999997090E-014   7.0973735716173058E-016   1.0455213041227961E-017   7.2019257020295883E-016  -7.0464244311043832E-016   3.5486867858086528E-019   1.0455213041227961E-020   2039.0000000000000     
   1.8999999999996909E-014   7.0793421656513325E-016   1.0819871323074371E-017   7.1875408788820747E-016  -7.0198442914374790E-016   3.5396710828256661E-019   1.0819871323074371E-020   2009.0000000000000     
   1.9999999999996728E-014   7.0378680180402039E-016   1.1046106102971264E-017   7.1483290790699177E-016  -6.9760435141545642E-016   3.5189340090201020E-019   1.1046106102971263E-020   1974.0000000000000     
   2.0999999999996547E-014   6.9944472766859803E-016   1.1319107093890003E-017   7.1076383476248792E-016  -6.9546854133608918E-016   3.4972236383429901E-019   1.1319107093890003E-020   1956.0000000000000     
   2.1999999999996366E-014   7.0900960651547549E-016   1.1621630998198662E-017   7.2063123751367373E-016  -7.0327358328786224E-016   3.5450480325773773E-019   1.1621630998198663E-020   1940.0000000000000     
   2.2999999999996185E-014   7.1443247839246743E-016   1.1854218204346806E-017   7.2628669659681483E-016  -7.0703476958110165E-016   3.5721623919623374E-019   1.1854218204346807E-020   1926.0000000000000     
   2.3999999999996004E-014   7.1367453178235942E-016   1.2130107015138693E-017   7.2580463879749735E-016  -7.0667765361300366E-016   3.5683726589117973E-019   1.2130107015138694E-020   1906.0000000000000     
   2.4999999999995823E-014   7.2455380400012109E-016   1.2387203795555008E-017   7.3694100779567632E-016  -7.1213664607983993E-016   3.6227690200006055E-019   1.2387203795555008E-020   1884.0000000000000     
   2.5999999999995642E-014   7.1255968402111122E-016   1.2476828363213794E-017   7.2503651238432477E-016  -7.0058089849221256E-016   3.5627984201055559E-019   1.2476828363213794E-020   1864.0000000000000     
   2.6999999999995461E-014   7.0451658008330251E-016   1.2724219100186126E-017   7.1724079918348760E-016  -6.8771064830081537E-016   3.5225829004165126E-019   1.2724219100186126E-020   1853.0000000000000     
   2.7999999999995280E-014   7.0557000601162058E-016   1.2889720086465111E-017   7.1845972609808510E-016  -6.9321763714312680E-016   3.5278500300581029E-019   1.2889720086465111E-020   1851.0000000000000     
   2.8999999999996923E-014   7.0196363666031151E-016   1.3129904665348748E-017   7.1509354132566222E-016  -6.9212315869940070E-016   3.5098181833015574E-019   1.3129904665348747E-020   1846.0000000000000     
